cell_type,mean_fraction_flare,mean_fraction_managed,mean_fraction_healthy,abs_mean_diff_flare_vs_managed,abs_mean_diff_flare_vs_healthy,kruskal_p_value_descriptive
"CD8-positive, alpha-beta T cell",0.24238981110360522,0.20299105384993937,0.18490685971545137,0.039398757253665845,0.05748295138815385,0.1387934076328227
non-classical monocyte,0.028536053327588542,0.044909591784629374,0.030467078227272817,0.016373538457040832,0.001931024899684275,1.32006071996087e-05
"CD4-positive, alpha-beta T cell",0.23333136327182996,0.24906629627024235,0.3755423657706735,0.015734932998412388,0.14221100249884355,1.1724997831143462e-17
natural killer cell,0.06217270067584613,0.07013404945626839,0.07856385748738758,0.007961348780422255,0.016391156811541442,0.1358611147587219
conventional dendritic cell,0.007560862925956765,0.013955319008577667,0.01514911186994942,0.006394456082620902,0.007588248943992655,8.992690406633798e-05
lymphocyte,0.012049856250871707,0.008333686059360213,0.0037970516029038645,0.0037161701915114937,0.008252804647967842,4.9942522799417115e-09
classical monocyte,0.28733975432032915,0.2852187011514749,0.18121022889846178,0.0021210531688542478,0.10612952542186738,1.1861316129836847e-13
B cell,0.1217168214128144,0.1206087522633304,0.12298971250153658,0.0011080691494839978,0.0012728910887221806,0.21524524874830578
plasmablast,0.0021373717836066027,0.0011352371361767997,0.0009653537715293952,0.001002134647429803,0.0011720180120772074,0.008681601101970133
plasmacytoid dendritic cell,0.002482639618659396,0.003007247630155648,0.005674975073560988,0.0005246080114962521,0.003192335454901592,7.998977029166594e-11
progenitor cell,0.00028276530889210534,0.0006400653898448344,0.0007334050812726349,0.000357300080952729,0.00045063977238052956,0.003995765147360449
